title,country,genre,director,actors
Человек-паук: Паутина вселенных,США, мультфильм,Жуакин Душ Сантуш,"Шамеик Мур, Хейли Стайнфелд"
Убить Билла,США, боевик,Квентин Тарантино,"Ума Турман, Люси Лью"
Вечное сияние чистого разума,США, мелодрама,Мишель Гондри,"Джим Керри, Кейт Уинслет"
Бронкская история,США, драма,Роберт Де Ниро,"Роберт Де Ниро, Чазз Пальминтери"
Самая обаятельная и привлекательная,СССР, мелодрама,Геральд Бежанов,"Ирина Муравьёва, Татьяна Васильева"
Темный рыцарь: Возрождение легенды,США, фантастика,Кристофер Нолан,"Кристиан Бэйл, Том Харди"
Работа без авторства,Германия, биография,Флориан Хенкель фон Доннерсмарк,"Том Шиллинг, Себастьян Кох"
Головоломка,США, мультфильм,Пит Доктер,"Эми Полер, Филлис Смит"
Игра,США, триллер,Дэвид Финчер,"Майкл Дуглас, Шон Пенн"
Казино,США, драма,Мартин Скорсезе,"Роберт Де Ниро, Шэрон Стоун"
Бегущий по лезвию 2049,США, фантастика,Дени Вильнёв,"Райан Гослинг, Харрисон Форд"
Чужие,Великобритания, ужасы,Джеймс Кэмерон,"Сигурни Уивер, Майкл Бин"
Американская история X,США, драма,Тони Кэй,"Эдвард Нортон, Эдвард Ферлонг"
Изгой,США, драма,Роберт Земекис,"Том Хэнкс, Хелен Хант"
Красота по-американски,США, драма,Сэм Мендес,"Кевин Спейси, Аннетт Бенинг"
Общество мертвых поэтов,США, драма,Питер Уир,"Робин Уильямс, Роберт Шон Леонард"
Старикам тут не место,США, триллер,Итан Коэн,"Томми Ли Джонс, Джош Бролин"
Реальная любовь,Великобритания, мелодрама,Ричард Кёртис,"Хью Грант, Билл Найи"
Звук свободы,Мексика, драма,Алехандро Гомес Монтеверде,"Джеймс Кэвизел, Билл Кэмп"
Не может быть!,СССР, мелодрама,Леонид Гайдай,"Михаил Пуговкин, Нина Гребешкова"
Особенности национальной охоты,Россия, комедия,Александр Рогожкин,"Вилле Хаапасало, Алексей Булдаков"
Мстители: Финал,США, фантастика,Энтони Руссо,"Роберт Дауни мл., Крис Эванс"
Гонка,Великобритания, спорт,Рон Ховард,"Крис Хемсворт, Даниэль Брюль"
Тот самый Мюнхгаузен,СССР, фэнтези,Марк Захаров,"Олег Янковский, Инна Чурикова"
Эффект бабочки,США, фантастика,Эрик Бресс,"Эштон Кутчер, Эми Смарт"
День выборов,Россия, комедия,Олег Фомин,"Леонид Барац, Ростислав Хаит"
Курьер,СССР, драма,Карен Шахназаров,"Федор Дунаевский, Анастасия Немоляева"
Игра в имитацию,Великобритания, биография,Мортен Тильдум,"Бенедикт Камбербэтч, Кира Найтли"
Хоббит: Нежданное путешествие,Новая Зеландия, фэнтези,Питер Джексон,"Мартин Фриман, Иэн Маккеллен"
Железный человек,США, фантастика,Джон Фавро,"Роберт Дауни мл., Джефф Бриджес"
Самый быстрый Indian,Новая Зеландия, драма,Роджер Дональдсон,"Энтони Хопкинс, Аарон Мерфи"
Гарри Поттер и Принц-полукровка,Великобритания, фэнтези,Дэвид Йейтс,"Дэниэл Рэдклифф, Руперт Гринт"
Пленницы,США, триллер,Дени Вильнёв,"Хью Джекман, Джейк Джилленхол"
В погоне за счастьем,США, драма,Габриэле Муччино,"Уилл Смит, Джейден Смит"
Оппенгеймер,США, биография,Кристофер Нолан,"Киллиан Мерфи, Эмили Блант"
Жестокий романс,СССР, драма,Эльдар Рязанов,"Лариса Гузеева, Андрей Мягков"
О чём говорят мужчины,Россия, комедия,Дмитрий Дьяченко,"Леонид Барац, Александр Демидов"
Большая игра,США, биография,Аарон Соркин,"Джессика Честейн, Идрис Эльба"
"Три билборда на границе Эббинга, Миссури",Великобритания, драма,Мартин Макдона,"Фрэнсис Макдорманд, Сэм Рокуэлл"
Вокзал для двоих,СССР, драма,Эльдар Рязанов,"Людмила Гурченко, Олег Басилашвили"
Бешеные псы,США, криминал,Квентин Тарантино,"Харви Кейтель, Тим Рот"
Другие,Испания, ужасы,Алехандро Аменабар,"Николь Кидман, Финола Флэнаган"
Один день,США, драма,Лоне Шерфиг,"Энн Хэтэуэй, Джим Стёрджесс"
Двухсотлетний человек,Германия, фантастика,Крис Коламбус,"Робин Уильямс, Эмбет Дэвидц"
Отель «Гранд Будапешт»,США, комедия,Уэс Андерсон,"Рэйф Файнс, Тони Револори"
Убойные каникулы,Канада, комедия,Илай Крэйг,"Тайлер Лабин, Алан Тьюдик"
Мальчик в полосатой пижаме,Великобритания, драма,Марк Херман,"Эйса Баттерфилд, Джек Скэнлон"
Хранители,США, фантастика,Зак Снайдер,"Патрик Уилсон, Мэттью Гуд"
12,Россия, триллер,Никита Михалков,"Сергей Маковецкий, Никита Михалков"
Пираты Карибского моря: На краю света,США, приключения,Гор Вербински,"Джонни Депп, Джеффри Раш"
Человек-паук,США, фантастика,Сэм Рэйми,"Тоби Магуайр, Уиллем Дефо"
Пролетая над гнездом кукушки,США, драма,Милош Форман,"Джек Николсон, Луиза Флетчер"
Терминатор,США, фантастика,Джеймс Кэмерон,"Арнольд Шварценеггер, Майкл Бин"
Выстрел в пустоту,США, криминал,Рик Роман Во,"Николай Костер-Вальдау, Омари Хардвик"
Лицо со шрамом,США, драма,Брайан Де Пальма,"Аль Пачино, Стивен Бауэр"
